steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,Engine
373770,LiEat,lieat,https://cdn.cloudflare.steamstatic.com/steam/apps/373770/header.jpg?t=1592544436,3351,80.004,3911,3351,-1,0.829239,2016-02-25,299,299,0,0,0,144,24586,0,7681,-1.0,2624.0,62,119,212,299.0,31722,546,△○□× (Miwashiba),PLAYISM,156
266210,One Way Heroics,one_way_heroics,https://cdn.cloudflare.steamstatic.com/steam/apps/266210/header.jpg?t=1592543513,3261,90.1376,3864,3261,-1,0.680402,2014-02-28,349,349,0,0,0,775,11753,0,6858,-1.0,1477.0,229,310,358,349.0,10685,546,Smoking WOLF,PLAYISM,156
483980,Mad Father,mad_father,https://cdn.cloudflare.steamstatic.com/steam/apps/483980/header.jpg?t=1617844640,3075,80.4752,3368,3075,-1,0.835725,2016-09-22,999,999,0,0,0,230,15207,0,3566,-1.0,7084.0,39,75,128,499.0,21338,546,sen,PLAYISM,156
828070,Treasure Hunter Claire,treasure_hunter_claire,https://cdn.cloudflare.steamstatic.com/steam/apps/828070/header.jpg?t=1648465585,1768,74.0032,1880,1768,-1,0.741694,2018-07-19,999,1999,0,0,0,690,15974,0,3480,,18500.0,26,36,47,1999.0,469,403,Acerola,Kagura Games,156
691450,Misao: Definitive Edition,misao_definitive_edition,https://cdn.cloudflare.steamstatic.com/steam/apps/691450/header.jpg?t=1615365256,1211,74.5141,1300,1211,-1,0.749545,2017-10-25,499,499,0,0,0,27,4794,0,5463,-1.0,15466.0,19,34,64,499.0,21338,546,sen,PLAYISM,156
524850,Alicemare,alicemare,https://cdn.cloudflare.steamstatic.com/steam/apps/524850/header.jpg?t=1573102865,765,83.6216,828,765,-1,0.668012,2016-11-21,299,299,0,0,0,25,8120,0,10518,-1.0,10827.0,-1,-1,43,299.0,31722,546,△○□× (Miwashiba),PLAYISM,156
1135830,Brave Alchemist Colette,brave_alchemist_colette,https://cdn.cloudflare.steamstatic.com/steam/apps/1135830/header.jpg?t=1648463365,697,85.2558,757,697,-1,0.698476,2020-04-27,1749,2499,0,0,0,482,6975,0,2260,,24770.0,20,36,44,2499.0,469,403,Acerola,Kagura Games,156
965670,Niplheim's Hunter - Branded Azel,niplheims_hunter_branded_azel,https://cdn.cloudflare.steamstatic.com/steam/apps/965670/header.jpg?t=1648464607,626,85.0115,669,626,-1,0.705103,2019-01-06,1199,1999,0,0,0,169,8243,0,6445,,20620.0,36,63,79,1999.0,4574,403,Black Train,Kagura Games,156
618720,1bitHeart,1bitheart,https://cdn.cloudflare.steamstatic.com/steam/apps/618720/header.jpg?t=1573114631,599,86.7215,651,599,-1,0.732736,2017-08-28,299,299,0,0,0,43,4278,0,9992,-1.0,12537.0,20,36,63,299.0,31722,546,△○□× (Miwashiba),PLAYISM,156
1013870,Leanna's Slice of Life,leannas_slice_of_life,https://cdn.cloudflare.steamstatic.com/steam/apps/1013870/header.jpg?t=1648464245,576,77.2325,618,576,-1,0.598775,2019-03-07,749,1499,0,0,0,401,6781,0,6047,,21396.0,11,14,19,1499.0,469,403,Acerola,Kagura Games,156
887530,President Yukino,president_yukino,https://cdn.cloudflare.steamstatic.com/steam/apps/887530/header.jpg?t=1648464775,574,73.7587,611,574,-1,0.539792,2018-10-11,749,1499,0,0,0,305,6330,0,4233,,20959.0,12,17,26,1499.0,469,403,Acerola,Kagura Games,156
736570,The Crooked Man,the_crooked_man,https://cdn.cloudflare.steamstatic.com/steam/apps/736570/header.jpg?t=1643975224,534,69.909,564,534,-1,0.675483,2018-01-16,299,299,0,0,0,22,2022,0,6428,,19114.0,11,22,37,299.0,4557,546,Uri Games,PLAYISM,156
959890,Sister Travel,sister_travel,https://cdn.cloudflare.steamstatic.com/steam/apps/959890/header.jpg?t=1648465132,429,84.3163,468,429,-1,0.768559,2019-01-24,749,1499,0,0,0,135,3185,0,8311,,22077.0,23,28,31,1499.0,3316,403,Inusuku,Kagura Games,156
1257200,False Myth,false_myth,https://cdn.cloudflare.steamstatic.com/steam/apps/1257200/header.jpg?t=1648463848,300,80.3614,337,300,-1,0.834162,2021-02-19,1999,2499,0,0,0,296,3548,0,6323,,27238.0,15,23,30,2499.0,34197,403,fushidara tei,Kagura Games,156
1015720,Alternate DiMansion Diary,alternate_dimansion_diary,https://cdn.cloudflare.steamstatic.com/steam/apps/1015720/header.jpg?t=1648463226,297,80.2336,330,297,-1,0.832406,2019-05-23,499,999,0,0,0,81,2731,0,6472,,22300.0,-1,12,18,999.0,537,403,Sprite Hills,Kagura Games,156
907210,Phantom Thief Celianna,phantom_thief_celianna,https://cdn.cloudflare.steamstatic.com/steam/apps/907210/header.jpg?t=1648464768,242,61.0269,261,242,-1,0.502708,2018-11-15,519,1299,0,0,0,204,4560,0,7770,,21148.0,12,16,20,1299.0,469,403,Acerola,Kagura Games,156
1378040,Tear and the Library of Labyrinths,tear_and_the_library_of_labyrinths,https://cdn.cloudflare.steamstatic.com/steam/apps/1378040/header.jpg?t=1648465391,215,81.8827,243,215,-1,0.854806,2020-11-06,1399,1999,0,0,0,150,3221,0,3138,,26773.0,-1,13,15,1999.0,469,403,Acerola,Kagura Games,156
1328900,Explorer of Yggdrasil,explorer_of_yggdrasil,https://cdn.cloudflare.steamstatic.com/steam/apps/1328900/header.jpg?t=1648463748,182,77.4009,203,182,-1,0.792451,2021-03-12,1599,1999,0,0,0,201,3616,0,5712,,26495.0,20,24,30,1999.0,4574,403,Black Train,Kagura Games,156
1124060,Touhou Shoujo Tale of Beautiful Memories / 東方少女綺想譚,touhou_shoujo_tale_of_beautiful_memories,https://cdn.cloudflare.steamstatic.com/steam/apps/1124060/header.jpg?t=1566525660,143,82.8303,152,143,-1,0.867416,2019-08-22,2999,2999,0,0,0,40,1422,0,16303,,28290.0,-1,-1,11,2999.0,12378,3268,The N Main Shop,DLsite,156
1413960,Chevalier Historie,chevalier_historie,https://cdn.cloudflare.steamstatic.com/steam/apps/1413960/header.jpg?t=1648463509,139,77.4028,153,139,-1,0.792479,2022-02-25,1599,1999,0,0,0,302,3304,0,2059,,,12,16,-1,0.0,38382,403,PICOPICOSOFT,Kagura Games,156
741250,The Sand Man,the_sand_man,https://cdn.cloudflare.steamstatic.com/steam/apps/741250/header.jpg?t=1643975471,139,85.3627,146,139,-1,0.90025,2018-01-29,299,299,0,0,0,12,1238,0,8877,,20649.0,-1,-1,-1,299.0,4557,546,Uri Games,PLAYISM,156
749840,The Boogie Man,the_boogie_man,https://cdn.cloudflare.steamstatic.com/steam/apps/749840/header.jpg?t=1643975077,126,72.5335,140,126,-1,0.718628,2018-02-12,299,299,0,0,0,7,816,0,10044,,20867.0,-1,-1,-1,299.0,4557,546,Uri Games,PLAYISM,156
1658930,Blazing Aries,blazing_aries,https://cdn.cloudflare.steamstatic.com/steam/apps/1658930/header.jpg?t=1648117535,96,80.3752,110,96,-1,0.834352,2022-03-11,1899,1899,0,0,0,178,1693,-2,2108,,,-1,-1,-1,,48042,27906,Kuroto Zakka,OTAKU Plan,156
