,steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,sdk
0,945360,Among Us,among_us,https://cdn.cloudflare.steamstatic.com/steam/apps/945360/header.jpg?t=1639121898,537419,79.6488,610197,537419,85,0.497208,2018-11-16,499,499,0,0,0,438524,289657,0,146,,55.0,-1,-1,18,499.0,2517,2517,Innersloth,Innersloth,Discord
1,960090,Bloons TD 6,bloons_td_6,https://cdn.cloudflare.steamstatic.com/steam/apps/960090/header.jpg?t=1634303522,147543,93.7861,167815,147543,-1,0.693888,2018-12-17,999,999,0,0,0,53891,46134,0,89,,510.0,93,211,393,999.0,4768,4768,Ninja Kiwi,Ninja Kiwi,Discord
2,700330,SCP: Secret Laboratory,scp_secret_laboratory,https://cdn.cloudflare.steamstatic.com/steam/apps/700330/header.jpg?t=1645283619,131152,86.3056,131152,-1,-1,0.635719,2017-12-29,0,0,1,0,0,11109,116870,0,-1,,219.0,-1,-1,-1,0.0,20987,20987,Northwood Studios,Northwood Studios,Discord
3,438100,VRChat,vrchat,https://cdn.cloudflare.steamstatic.com/steam/apps/438100/header.jpg?t=1597188061,124670,85.9296,124670,153,-1,0.607261,2017-02-01,0,0,1,0,0,42564,-1,1,172,,57.0,58,117,117,0.0,26301,26301,VRChat Inc.,VRChat Inc.,Discord
4,632360,Risk of Rain 2,risk_of_rain_2,https://cdn.cloudflare.steamstatic.com/steam/apps/632360/header.jpg?t=1644947978,121904,91.752,181348,121904,85,0.70824,2020-08-11,2499,2499,0,0,0,71033,258991,-1,121,-1.0,283.0,2916,7357,10942,1999.0,9164,3499,Hopoo Games,Gearbox Publishing,Discord
5,433340,Slime Rancher,slime_rancher,https://cdn.cloudflare.steamstatic.com/steam/apps/433340/header_alt_assets_9.jpg?t=1642112188,74517,93.1967,84392,74517,81,0.737128,2017-08-01,1999,1999,0,0,0,7189,228173,-1,284,75.4545,780.0,373,880,1515,1999.0,6049,6049,Monomi Park,Monomi Park,Discord
6,714010,Aim Lab,aim_lab,https://cdn.cloudflare.steamstatic.com/steam/apps/714010/header.jpg?t=1643819867,63487,88.108,63487,144,-1,0.661285,2018-02-07,0,0,1,0,0,10354,99729,1,2725,,252.0,16,19,24,0.0,23931,23931,Statespace,Statespace,Discord
7,504370,Battlerite,battlerite,https://cdn.cloudflare.steamstatic.com/steam/apps/504370/header.jpg?t=1622532236,57925,76.2356,57925,21560,85,0.775417,2017-11-08,0,0,1,0,0,44850,521343,-1,3708,84.8889,156.0,356,921,1134,0.0,11493,11493,Stunlock Studios,Stunlock Studios,Discord
8,489520,Minion Masters,minion_masters,https://cdn.cloudflare.steamstatic.com/steam/apps/489520/header.jpg?t=1645099419,56931,74.3105,56931,1351,-1,0.746427,2019-05-24,0,0,1,0,0,10160,276122,-1,1068,-1.0,71.0,12,20,65,0.0,12624,12624,BetaDwarf,BetaDwarf,Discord
9,774171,Muse Dash,muse_dash,https://cdn.cloudflare.steamstatic.com/steam/apps/774171/header.jpg?t=1644560182,53009,91.4178,63144,57614,-1,0.71511,2019-06-19,299,299,0,0,0,-1,77450,0,312,76.25,2014.0,410,2083,2484,299.0,56684,56685,peropero,hasuhasu,Discord
