,steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,sdk
0,301520,Robocraft,robocraft,https://cdn.cloudflare.steamstatic.com/steam/apps/301520/header.jpg?t=1611659769,118445,63.9498,118445,2555,-1,0.565424,2017-08-24,0,0,1,1,0,26598,159935,-1,2694,,61.0,-1,-1,-1,0,18803,2282,Freejam,Freejam,Photon
1,508440,Totally Accurate Battle Simulator,totally_accurate_battle_simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/508440/header.jpg?t=1642079445,76898,92.2667,81791,76898,-1,0.726608,2021-04-01,1999,1999,0,0,0,13608,304298,-1,219,,2654.0,786,1676,2837,1499,43088,8202,Landfall,Landfall,Photon
2,823130,Totally Accurate Battlegrounds,totally_accurate_battlegrounds,https://cdn.cloudflare.steamstatic.com/steam/apps/823130/header.jpg?t=1620818743,68487,86.3466,68487,15235,-1,0.668344,2018-06-05,0,0,1,1,0,29438,77208,0,1529,,93.0,115,822,1299,499,43088,8202,Landfall,Landfall,Photon
3,761890,Albion Online,albion_online,https://cdn.cloudflare.steamstatic.com/steam/apps/761890/header.jpg?t=1638009825,44971,76.4406,44971,1738,72,0.521665,2018-05-16,0,0,1,1,0,13312,68496,0,190,79.375,974.0,156,276,355,0,13755,13755,Sandbox Interactive GmbH,Sandbox Interactive GmbH,Photon
4,380600,Fishing Planet,fishing_planet,https://cdn.cloudflare.steamstatic.com/steam/apps/380600/header.jpg?t=1643021841,33230,85.2028,33230,468,-1,0.70178,2017-08-28,0,0,1,1,0,6651,80983,-1,285,-1.0,382.0,-1,-1,-1,0,2157,2157,Fishing Planet LLC,Fishing Planet LLC,Photon
5,431240,Golf With Your Friends,golf_with_your_friends,https://cdn.cloudflare.steamstatic.com/steam/apps/431240/header.jpg?t=1643289939,32209,81.7321,46370,32209,-1,0.650565,2020-05-19,1499,1499,0,0,0,20592,73584,-1,42,69.0,154.0,364,723,1590,599,23348,32154,Blacklight Interactive,Team17,Photon
6,313120,Stranded Deep,stranded_deep,https://cdn.cloudflare.steamstatic.com/steam/apps/313120/header.jpg?t=1632807423,31782,68.6288,34452,31782,-1,0.457345,2015-01-23,1499,1499,0,0,0,5984,335689,1,244,67.5,2445.0,1492,3163,4411,1499,16486,52790,Beam Team Games,Beam Team Publishing,Photon
7,843380,Super Animal Royale,super_animal_royale,https://cdn.cloudflare.steamstatic.com/steam/apps/843380/header.jpg?t=1643837390,28531,86.3654,28531,6404,-1,0.700214,2021-08-26,0,0,0,0,0,7514,38049,-1,839,,3018.0,19,84,238,1299,14350,1435,Pixile,Modus Games,Photon
8,242860,Verdun,verdun,https://cdn.cloudflare.steamstatic.com/steam/apps/242860/header.jpg?t=1643707385,26917,82.4566,35140,26917,70,0.862465,2015-04-28,1999,1999,0,0,0,4504,171013,-1,1318,56.6667,705.0,408,786,1738,1349,"7611,20452",7611,"M2H, Blackmill Games",M2H,Photon
9,657200,Hand Simulator,hand_simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/657200/header.jpg?t=1624181121,25840,79.9554,32762,25840,-1,0.828567,2017-07-18,199,199,0,0,0,2674,29011,0,1182,,455.0,21,50,113,199,5320,5320,HFM Games,HFM Games,Photon
10,582500,We Were Here,we_were_here,https://cdn.cloudflare.steamstatic.com/steam/apps/582500/header.jpg?t=1643119872,18020,82.8391,18020,1321,-1,0.867532,2017-02-03,0,0,1,0,0,1308,30603,0,5977,,519.0,174,868,868,0,7198,7198,Total Mayhem Games,Total Mayhem Games,Photon
11,527230,For The King,for_the_king,https://cdn.cloudflare.steamstatic.com/steam/apps/527230/header.jpg?t=1643308254,17771,76.3785,25740,17771,79,0.777527,2018-04-19,1999,1999,0,0,0,9625,124377,-1,449,75.4286,1728.0,109,285,412,1999,5319,53672,IronOak Games,Curve Games,Photon
12,641990,The Escapists 2,the_escapists_2,https://cdn.cloudflare.steamstatic.com/steam/apps/641990/header.jpg?t=1643290783,17615,84.3647,22145,17615,75,0.887455,2017-08-21,1999,1999,0,0,0,11156,135086,0,796,74.9773,687.0,611,917,1113,1999,"23522,32154",32154,"Mouldy Toof Studios, Team17",Team17,Photon
13,427730,Who's Your Daddy?!,whos_your_daddy,https://cdn.cloudflare.steamstatic.com/steam/apps/427730/header.jpg?t=1641218744,17540,84.1073,21699,17540,-1,0.699339,2016-05-13,499,499,0,0,0,1209,78917,-1,249,,936.0,277,492,906,499,5760,5760,Evil Tortilla Games,Evil Tortilla Games,Photon
14,434650,Lost Castle / 失落城堡,lost_castle,https://cdn.cloudflare.steamstatic.com/steam/apps/434650/header.jpg?t=1639465894,16006,78.215,20842,16006,-1,0.804138,2016-08-31,999,999,0,0,0,4604,98623,-1,1001,,1343.0,38,66,125,999,45209,45201,Hunter Studio,Neon Doctrine,Photon
15,597170,Clone Drone in the Danger Zone,clone_drone_in_the_danger_zone,https://cdn.cloudflare.steamstatic.com/steam/apps/597170/header.jpg?t=1631724458,15542,88.643,16950,15542,82,0.799149,2021-07-27,1999,1999,0,0,0,1921,24937,-1,728,,9760.0,43,104,190,1499,21081,21081,Doborog Games,Doborog Games,Photon
16,962730,Skater XL - The Ultimate Skateboarding Game,skater_xl_the_ultimate_skateboarding_game,https://cdn.cloudflare.steamstatic.com/steam/apps/962730/header.jpg?t=1630358993,15070,80.7713,16005,15070,56,0.839775,2020-07-28,3999,3999,0,0,0,5597,38551,-1,619,,9118.0,914,1575,2310,1999,20696,20696,Easy Day Studios Pty Ltd,Easy Day Studios Pty Ltd,Photon
17,1049410,Superliminal,superliminal,https://cdn.cloudflare.steamstatic.com/steam/apps/1049410/header.jpg?t=1636144463,13076,85.7814,15677,13076,-1,0.905563,2020-11-05,1999,1999,0,0,0,1255,48241,0,574,,3084.0,932,2183,3818,1999,1411,1411,Pillow Castle,Pillow Castle,Photon
