,steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,sdk
0,346010,Besiege,besiege,https://cdn.cloudflare.steamstatic.com/steam/apps/346010/header.jpg?t=1644513850,38610,83.0289,42938,38610,-1,0.870035,2020-02-18,1499.0,1499.0,0,0,0,11120,281164,-1,635,,413.0,573,1048,1584,699.0,5978,5978,Spiderling Studios,Spiderling Studios,Azure Playfab
1,285900,Gang Beasts,gang_beasts,https://cdn.cloudflare.steamstatic.com/steam/apps/285900/header.jpg?t=1639479522,30432,87.9366,36993,30432,-1,0.696659,2017-12-12,1999.0,1999.0,0,0,0,2946,236349,-1,194,66.5263,929.0,223,552,885,1999.0,"7680,31744",14803,"Coatsink, Boneloaf",Boneloaf,Azure Playfab
2,1307550,Craftopia,craftopia,https://cdn.cloudflare.steamstatic.com/steam/apps/1307550/header.jpg?t=1639565005,12529,80.1577,14629,12793,-1,0.83136,2020-09-04,2499.0,2499.0,0,0,0,26449,157331,1,338,,7733.0,1112,2236,2900,2499.0,56404,47771,Pocketpair,Pocketpair,Azure Playfab
3,719040,Wasteland 3,wasteland_3,https://cdn.cloudflare.steamstatic.com/steam/apps/719040/header.jpg?t=1644520623,10855,82.4975,13911,10855,85,0.863008,2020-08-27,3999.0,3999.0,0,0,0,24545,81604,0,562,,7635.0,1414,2891,3580,5999.0,2568,2568,inXile Entertainment,inXile Entertainment,Azure Playfab
4,290340,Armello,armello,https://cdn.cloudflare.steamstatic.com/steam/apps/290340/header.jpg?t=1633308761,9796,75.0707,14111,9796,75,0.758006,2015-09-01,1999.0,1999.0,0,0,0,3615,90730,-1,984,78.6667,1202.0,109,218,306,2499.0,24724,24724,League of Geeks,League of Geeks,Azure Playfab
5,1097130,Circuit Superstars,circuit_superstars,https://cdn.cloudflare.steamstatic.com/steam/apps/1097130/header.jpg?t=1639415191,1034,71.2313,1137,1034,82,0.697554,2021-10-12,1699.0,1999.0,0,0,0,221,11064,-1,1797,,22062.0,118,210,335,1699.0,2671,818,Original Fire Games,Square Enix,Azure Playfab
6,1276660,Tinkertown,tinkertown,https://cdn.cloudflare.steamstatic.com/steam/apps/1276660/header.jpg?t=1638827773,555,55.1414,713,555,-1,0.343267,2020-12-03,1699.0,1699.0,0,0,0,277,15892,1,3983,,20182.0,72,97,170,1699.0,1316,1316,Headup,Headup,Azure Playfab
7,1477630,Swing Dunk,swing_dunk,https://cdn.cloudflare.steamstatic.com/steam/apps/1477630/header.jpg?t=1645064948,274,60.3422,274,-1,-1,0.48685,2021-09-15,0.0,0.0,1,0,0,126,702,1,15629,,,-1,-1,-1,0.0,32085,32085,BucketPlay.inc,BucketPlay.inc,Azure Playfab
8,840390,Spacebase Startopia,spacebase_startopia,https://cdn.cloudflare.steamstatic.com/steam/apps/840390/header.jpg?t=1645120603,268,59.7242,472,268,69,0.472082,2021-03-26,3999.0,3999.0,0,0,0,647,14450,0,15400,,21279.0,96,124,137,4999.0,9003,2777,Realmforge Studios,Kalypso Media,Azure Playfab
9,1462150,R.B.I. Baseball 21,rbi_baseball_21,https://cdn.cloudflare.steamstatic.com/steam/apps/1462150/header.jpg?t=1615909492,156,43.675,165,156,-1,-1.0,2021-03-16,499.0,1999.0,0,0,0,52,424,0,4837,,29248.0,26,51,72,2999.0,41372,20435,MLB,MLB,Azure Playfab
