steam_appid,Engine
379720,idTech6
612880,idTech6
1056960,idTech6
650000,idTech6
1056970,idTech6
201810,idTech5
268050,idTech5
350080,idTech5
9200,idTech5
9050,idTech4
2210,idTech4
7610,idTech4
240440,idTech4
6020,idTech3
9010,idTech3
2620,idTech3
6030,idTech3
282440,idTech3
2200,idTech3
671610,idTech3
2640,idTech3
214700,idTech3
1072150,idTech3
1000410,idTech3
1271050,idTech3
1417010,idTech3
371180,idTech3
1549750,idTech3
370460,idTech3
974090,idTech3
31700,idTech3
2350,idTech3
989550,idTech3
661990,idTech3
1546440,idTech3
339570,idTech3
96200,idTech3
1715690,idTech3
1156120,idTech3
1566570,idTech3
793670,idTech3
817220,idTech3
1458810,idTech3
1447830,idTech3
1118550,idTech3
1624460,idTech3
9060,idTech2
2280,idTech1
2300,idTech1
2290,idTech1
2390,idTech1
9160,idTech1
2360,idTech1
317040,idTech1
2370,idTech1
674190,idTech1
2270,idTech0
9000,idTech0
238050,idTech0
358190,idTech0
358310,idTech0
413150,XNA
49520,XNA
244850,XNA
504230,XNA
261640,XNA
434570,XNA
312530,XNA
207140,XNA
42910,XNA
241600,XNA
283640,XNA
236090,XNA
365450,XNA
264200,XNA
270550,XNA
96100,XNA
253430,XNA
356570,XNA
1178030,XNA
230050,XNA
296470,XNA
269770,XNA
222730,XNA
270210,XNA
332200,XNA
250520,XNA
274900,XNA
274500,XNA
563840,XNA
204240,XNA
115800,XNA
224500,XNA
208750,XNA
405710,XNA
257750,XNA
251470,XNA
72200,XNA
1930,XNA
340050,XNA
726360,XNA
422810,XNA
855860,XNA
318130,XNA
1031480,XNA
6370,XNA
416600,XNA
213650,XNA
250500,XNA
253980,XNA
274270,XNA
314450,XNA
239800,XNA
341500,XNA
92100,XNA
261470,XNA
220660,XNA
218820,XNA
550840,XNA
273500,XNA
233700,XNA
417890,XNA
249330,XNA
882710,XNA
215930,XNA
294140,XNA
1364290,XNA
344740,XNA
288120,XNA
241720,XNA
330350,XNA
314010,XNA
223490,XNA
248650,XNA
212030,XNA
257990,XNA
532190,XNA
263200,XNA
1900,XNA
62100,XNA
573320,XNA
111600,XNA
92300,XNA
