steam_appid,SDK
227300,Tobii
239140,Tobii
107410,Tobii
552520,Tobii
812140,Tobii
270880,Tobii
582160,Tobii
379430,Tobii
304390,Tobii
365590,Tobii
552500,Tobii
460930,Tobii
787860,Tobii
750920,Tobii
1250410,Tobii
554620,Tobii
637650,Tobii
282140,Tobii
337000,Tobii
418240,Tobii
1080110,Tobii
236870,Tobii
257510,Tobii
371660,Tobii
1134570,Tobii
460920,Tobii
368500,Tobii
1248130,Tobii
447020,Tobii
928600,Tobii
235540,Tobii
530700,Tobii
311560,Tobii
392160,Tobii
378860,Tobii
257420,Tobii
203290,Tobii
610370,Tobii
515180,Tobii
298050,Tobii
999220,Tobii
233610,Tobii
427100,Tobii
486310,Tobii
737800,Tobii
620590,Tobii
515220,Tobii
1066890,Tobii
703860,Tobii
275100,Tobii
564310,Tobii
304530,Tobii
491540,Tobii
433530,Tobii
313630,Tobii
879420,Tobii
296710,Tobii
487720,Tobii
434030,Tobii
1792250,Tobii
953580,Tobii
958400,Tobii
976590,Tobii
1579380,Tobii
430210,Tobii
448850,Tobii
465240,Tobii
766370,Tobii
437630,Tobii
436110,Tobii
334540,Tobii
720380,Tobii
318970,Tobii
552440,Tobii
359100,Tobii
661130,Tobii
552450,Tobii
567670,Tobii
1257560,Tobii
1079620,Tobii
639130,Tobii
452540,Tobii
688480,Tobii
1265930,Tobii
342260,Tobii
320540,Tobii
555450,Tobii
643820,Tobii
526180,Tobii
1307710,Tobii
555400,Tobii
528160,Tobii
613450,Tobii
573680,Tobii
552460,Tobii
393750,Tobii
331510,Tobii
941570,Tobii
964020,Tobii
600610,Tobii
775430,Tobii
264000,Tobii
371300,Tobii
417150,Tobii
339830,Tobii
678030,Tobii
768180,Tobii
514830,Tobii
282620,Tobii
664450,Tobii
284970,Tobii
452450,Tobii
373480,Tobii
344890,Tobii
458680,Tobii
446850,Tobii
510390,Tobii
644010,Tobii
352360,Tobii
573660,Tobii
677040,Tobii
1047640,Tobii
507050,Tobii
414330,Tobii
876500,Tobii
974620,Tobii
288100,Tobii
397850,Tobii
730710,Tobii
755130,Tobii
983360,Tobii
1112120,Tobii
1286860,Tobii
1321220,Tobii
1512190,Tobii
730,Steam_Networking
570,Steam_Networking
440,Steam_Networking
1046930,Steam_Networking
546560,Steam_Networking
250820,Steam_Networking
1902490,Steam_Networking
225600,Steam_Networking
17580,Steam_Networking
730,Steam_Audio
570,Steam_Audio
739630,Steam_Audio
546560,Steam_Audio
1144200,Steam_Audio
555160,Steam_Audio
250820,Steam_Audio
629730,Steam_Audio
823500,Steam_Audio
895400,Steam_Audio
1359090,Steam_Audio
1727650,Steam_Audio
374280,Steam_Audio
1902490,Steam_Audio
238430,Steam_Audio
1371580,Steam_Audio
450390,Steam_Audio
225600,Steam_Audio
753650,Steam_Audio
1363430,Steam_Audio
598980,Steam_Audio
1230410,Steam_Audio
1073390,Steam_Audio
989440,Steam_Audio
555880,Steam_Audio
400940,Steam_Audio
1550710,Steam_Audio
553520,Steam_Audio
