TK_No.,Type,Name
134,SDK,Tobii
135,SDK,Steam_Networking
136,SDK,Steam_Audio
137,SDK,SDL
138,SDK,Qt
139,SDK,NodeJS
140,SDK,NVIDIA_PhysX
141,SDK,NVIDIA_Nsight_Aftermath
142,SDK,NVIDIA_DLSS
143,SDK,NVIDIA_Ansel
144,SDK,FMOD
145,SDK,EpicOnlineServices
146,SDK,Discord
147,SDK,AMD_GPU_Services
148,Engine,idTech6
149,Engine,idTech5
150,Engine,idTech4
151,Engine,idTech3
152,Engine,idTech2
153,Engine,idTech1
154,Engine,idTech0
155,Engine,XNA
156,Engine,WolfRPGEditor
157,Engine,Wintermute
158,Engine,VisionaireStudio
159,Engine,Unreal
160,Engine,Unity
161,Engine,Source2
162,Engine,Source
163,Engine,Snowdrop
164,Engine,SCI
165,Engine,RenPy
166,Engine,RPGMaker
167,Engine,Quake
168,Engine,Prism3D
169,Engine,PlayFirstPlayground
170,Engine,Pico8
171,Engine,Phyre
172,Engine,MonoGame
173,Engine,Love2D
174,Engine,Lime_OR_OpenFL
175,Engine,KiriKiri
176,Engine,Heaps
177,Engine,HaemimontSol
178,Engine,GoldSource
179,Engine,Godot
180,Engine,GameMaker
181,Engine,Frostbite
182,Engine,FNA
183,Engine,Defold
184,Engine,CryEngine
185,Engine,Construct
186,Engine,ChromeEngine
187,Engine,Build
188,Engine,Aurora
189,Engine,AdventureGameStudio
190,Engine,AdobeFlash
191,Engine,AdobeAIR
192,Engine,AGI
193,Emulator,SCUMMVM
194,Emulator,DOSBOX
195,Container,Electron
196,AntiCheat,nProtect_GameGuard
197,AntiCheat,PunkBuster
198,AntiCheat,EasyAntiCheat
199,AntiCheat,BattlEye
200,SDK,CEF
201,Engine,idTech2_5
202,Engine,Unigine
203,Engine,Infinity
204,SDK,CRIWARE
205,SDK,Azure_Playfab_Party
206,SDK,Adobe_Flash
207,Engine,idTech7
208,Engine,UPBGE
209,Engine,Adobe_AIR
210,SDK,Unknown
211,Engine,Unknown
212,Emulator,Unknown
213,Container,Unknown
214,AntiCheat,Unknown
215,SDK,OpenVR
216,Engine,RAGE
217,Engine,OGRE
218,Engine,Marmalade
219,Engine,Flexi
220,Engine,Bitsquid
221,SDK,Bink_Video
222,Engine,Virtools
223,Engine,Solar2D
224,Engine,HashLink
225,Engine,Cocos2d
226,Engine,TelltaleTool
227,SDK,Wwise
228,SDK,UnityHDRP
229,SDK,OpenAL
230,Engine,Torque
231,Engine,Kex
232,Engine,BlenderGameEngine
233,SDK,UnityURP
234,AntiCheat,XIGNCODE3
235,AntiCheat,EQU8
236,SDK,JVM
237,Engine,Clausewitz
238,SDK,Photon
239,SDK,SteamworksNET
240,Engine,Danmakufu
