steam_appid,name,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,Free?,is_f2p,F2P?,Coming Soon?,coming_soon,peak_ccu,followers,early_access,Early Access?,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,sdk
1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),4932,77.0882,4932,3,-1,0.787916,27/11/2020,0,0,1,Yes,0,No,No,0,369,1764,0,Never Had Early Access,11773,,,-1,-1,-1,0,"4,786,555,318",58969,"Chris Shanaz, Scuffed Development",shanaz game studios,Discord
977950,A Dance of Fire and Ice,33674,88.5038,36193,33674,-1,0.68464,24/01/2019,599,599,0,No,0,No,No,0,9247,32773,0,Never Had Early Access,291,,7759,26,52,148,599,17786,"20,317,786",7th Beat Games,"indienova, 7th Beat Games",Discord
714010,Aim Lab,63487,88.108,63487,144,-1,0.661285,07/02/2018,0,0,1,Yes,0,No,No,0,10354,99729,1,Early Access,2725,,252,16,19,24,0,23931,23931,Statespace,Statespace,Discord
761890,Albion Online,44971,76.4406,44971,1738,72,0.521665,16/05/2018,0,0,1,Yes,1,Yes,No,0,13312,68496,0,Never Had Early Access,190,79.375,974,156,276,355,0,13755,13755,Sandbox Interactive GmbH,Sandbox Interactive GmbH,Photon
945360,Among Us,537419,79.6488,610197,537419,85,0.497208,16/11/2018,499,499,0,No,0,No,No,0,438524,289657,0,Never Had Early Access,146,,55,-1,-1,18,499,2517,2517,Innersloth,Innersloth,Discord
280160,Aragami,8082,79.0318,10216,8082,71,0.815693,04/10/2016,1999,1999,0,No,0,No,No,0,1679,-1,0,Never Had Early Access,3593,72.0312,2042,183,324,488,1999,17358,17358,Lince Works,Lince Works,Photon
1158370,Aragami 2,1538,65.0837,1829,1538,-1,0.587955,17/09/2021,3499,3499,0,No,0,No,No,0,1785,13726,0,Never Had Early Access,1798,,20964,353,526,626,3499,17358,17358,Lince Works,Lince Works,Discord
290340,Armello,9796,75.0707,14111,9796,75,0.758006,01/09/2015,1999,1999,0,No,0,No,No,0,3615,90730,-1,Formerly Early Access,984,78.6667,1202,109,218,306,2499,24724,24724,League of Geeks,League of Geeks,Photon
290340,Armello,9796,75.0707,14111,9796,75,0.758006,01/09/2015,1999,1999,0,No,0,No,No,0,3615,90730,-1,Formerly Early Access,984,78.6667,1202,109,218,306,2499,24724,24724,League of Geeks,League of Geeks,Azure Playfab
550320,art of rally,2942,77.4028,3290,2942,-1,0.792479,23/09/2020,2499,2499,0,No,0,No,No,0,421,14180,0,Never Had Early Access,2130,,16001,249,502,1115,2499,21138,21138,Funselektor Labs Inc.,Funselektor Labs Inc.,Discord
688420,Bad North: Jotunn Edition,4882,84.7071,6019,4882,-1,0.891865,16/11/2018,1499,1499,0,No,0,No,No,0,1136,40890,0,Never Had Early Access,1251,,2224,133,214,295,1499,"1,040,528,609",4083,"Plausible Concept, Oskar Stålberg",Raw Fury,Discord
296300,Ballistic Overkill,6048,56.6939,7001,6048,-1,0.391678,28/03/2017,199,199,0,No,0,No,No,0,1079,-1,-1,Formerly Early Access,7664,,7402,81,180,312,199,3706,3706,Aquiris Game Studio,Aquiris Game Studio,Discord
473770,BallisticNG,995,73.4538,2228,995,-1,0.733157,14/12/2018,799,799,0,No,0,No,No,0,109,5991,-1,Formerly Early Access,3548,,4473,19,45,76,799,21540,21540,Neognosis,Neognosis,Discord
451020,Battle Chasers: Nightwar,4701,69.1249,6259,4701,78,0.662048,03/10/2017,2999,2999,0,No,0,No,No,0,5359,69281,0,Never Had Early Access,7276,79.7761,1998,163,281,449,2999,7654,3423,Airship Syndicate,THQ Nordic,Discord
504370,Battlerite,57925,76.2356,57925,21560,85,0.775417,08/11/2017,0,0,1,Yes,0,No,No,0,44850,521343,-1,Formerly Early Access,3708,84.8889,156,356,921,1134,0,11493,11493,Stunlock Studios,Stunlock Studios,Discord
879160,Battlerite Royale,7858,76.5968,7858,3403,-1,0.780737,19/02/2019,0,0,1,Yes,0,No,No,0,9355,28691,-1,Formerly Early Access,8390,,3340,29,42,64,1999,11493,11493,Stunlock Studios,Stunlock Studios,Discord
544610,Battlestar Galactica Deadlock,1908,73.7494,2239,1908,77,0.737762,31/08/2017,3999,3999,0,No,0,No,No,0,1208,38549,0,Never Had Early Access,1244,77.5,3150,159,259,308,3999,15318,380,Black Lab Games,Slitherine Ltd.,Photon
346010,Besiege,38610,83.0289,42938,38610,-1,0.870035,18/02/2020,1499,1499,0,No,0,No,No,0,11120,281164,-1,Formerly Early Access,635,,413,573,1048,1584,699,5978,5978,Spiderling Studios,Spiderling Studios,Azure Playfab
1071870,Biped,3573,81.807,4340,3573,74,0.85379,26/03/2020,1499,1499,0,No,0,No,No,0,1629,29465,0,Never Had Early Access,917,75.7647,9448,92,199,274,1499,56,"562,622,131",NEXT Studios,"NEXT Studios, bilibili, META Publishing",Photon
1201240,BLEACH Brave Souls,4855,75.5342,4855,-1,-1,0.764982,17/08/2020,0,0,1,Yes,0,No,No,0,5594,9564,0,Never Had Early Access,1086,,11474,-1,-1,-1,0,26359,26359,KLab Inc.,KLab Inc.,Photon
960090,Bloons TD 6,147543,93.7861,167815,147543,-1,0.693888,17/12/2018,999,999,0,No,0,No,No,0,53891,46134,0,Never Had Early Access,89,,510,93,211,393,999,4768,4768,Ninja Kiwi,Ninja Kiwi,Discord
1104450,Bombergrounds: Battle Royale,6581,81.2889,6581,-1,-1,0.846809,06/03/2020,0,0,1,Yes,0,No,No,0,1869,7273,1,Early Access,6580,,,-1,-1,-1,0,25772,25772,Gigantic Duck Games,Gigantic Duck Games,Discord
