steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher
570,Dota 2,dota_2,https://cdn.cloudflare.steamstatic.com/steam/apps/570/header.jpg?t=1645731580,1707847,74.7233,1707847,14318,90,0.32426,2013-07-09,0.0,0.0,1,1,0,1291328,-1,0,29,93.75,9.0,-1,-1,-1,2999.0,1,1,Valve,Valve
1091500,Cyberpunk 2077,cyberpunk_2077,https://cdn.cloudflare.steamstatic.com/steam/apps/1091500/header.jpg?t=1647417960,432309,77.1913,509267,447097,86,0.789414,2020-12-09,5999.0,5999.0,0,0,0,830387,1205000,0,112,,462.0,79585,138239,154636,5999.0,7170,7170,CD PROJEKT RED,CD PROJEKT RED
381210,Dead by Daylight,dead_by_daylight,https://cdn.cloudflare.steamstatic.com/steam/apps/381210/header.jpg?t=1647543411,420647,74.873,585843,420647,-1,0.415688,2016-06-14,1999.0,1999.0,0,0,0,105052,1388655,0,27,66.0556,85.0,1880,4484,8460,1999.0,14544,14544,Behaviour Interactive Inc.,Behaviour Interactive Inc.
346110,ARK: Survival Evolved,ark_survival_evolved,https://cdn.cloudflare.steamstatic.com/steam/apps/346110/header.jpg?t=1644270935,409308,86.8698,510803,409308,70,0.619812,2017-08-27,2999.0,2999.0,0,0,0,157355,1302638,-1,51,60.5667,102.0,2054,3147,6194,2999.0,"5179,5180,5181,5182",5179,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard
289070,Sid Meier’s Civilization® VI,sid_meiers_civilization_vi,https://cdn.cloudflare.steamstatic.com/steam/apps/289070/header.jpg?t=1643315625,149432,80.0598,210268,149432,88,0.533557,2016-10-20,5999.0,5999.0,0,0,0,162314,642633,0,60,,242.0,2295,3750,7076,5999.0,"3459,3515,8196","528,3459,8196","Aspyr (Mac), Firaxis Games, Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
301520,Robocraft,robocraft,https://cdn.cloudflare.steamstatic.com/steam/apps/301520/header.jpg?t=1611659769,118480,65.9658,118480,2550,-1,0.604903,2017-08-24,0.0,0.0,1,1,0,26598,159873,-1,4310,,61.0,-1,-1,-1,0.0,18803,2282,Freejam,Freejam
8930,Sid Meier's Civilization® V,sid_meiers_civilization_v,https://cdn.cloudflare.steamstatic.com/steam/apps/8930/header.jpg?t=1579731804,112040,85.4954,183503,112040,90,0.735413,2010-09-21,2999.0,2999.0,0,0,0,91020,-1,0,332,,62.0,-1,-1,136,2999.0,"3459,3515,8196","528,3459,8196","Aspyr (Mac), Firaxis Games, Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
552990,World of Warships,world_of_warships,https://cdn.cloudflare.steamstatic.com/steam/apps/552990/header.jpg?t=1648744237,98113,77.4928,98113,1035,81,0.530572,2017-11-15,0.0,0.0,1,1,0,353413,354633,-1,89,79.5625,456.0,-1,-1,-1,0.0,13344,13344,Wargaming Group Limited,Wargaming Group Limited
1237970,Titanfall® 2,titanfall_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1237970/header.jpg?t=1619804815,89077,83.1121,108428,89077,86,0.608359,2020-06-18,2999.0,2999.0,0,0,0,27547,103940,0,746,,1002.0,2448,8401,12158,2999.0,16690,668,Respawn Entertainment,Electronic Arts
1046930,Dota Underlords,dota_underlords,https://cdn.cloudflare.steamstatic.com/steam/apps/1046930/header.jpg?t=1621357797,88588,71.2385,88588,-1,-1,0.697673,2019-06-20,0.0,0.0,1,0,0,202254,-1,-1,5101,,315.0,-1,-1,-1,0.0,1,1,Valve,Valve
222880,Insurgency,insurgency,https://cdn.cloudflare.steamstatic.com/steam/apps/222880/header.jpg?t=1610560212,85567,81.0843,123545,85567,74,0.844036,2014-01-22,1499.0,1499.0,0,0,0,121264,271141,0,2674,,15.0,569,1464,2346,1499.0,11221,11221,New World Interactive,New World Interactive
211820,Starbound,starbound,https://cdn.cloudflare.steamstatic.com/steam/apps/211820/header.jpg?t=1611668796,78098,81.6583,155665,113998,81,0.764881,2016-07-22,1499.0,1499.0,0,0,0,88355,261244,-1,677,85.1667,182.0,1367,2562,3538,1499.0,1797,1797,Chucklefish,Chucklefish
362890,Black Mesa,black_mesa,https://cdn.cloudflare.steamstatic.com/steam/apps/362890/header.jpg?t=1636737000,73199,89.9117,79134,73199,84,0.714535,2020-03-06,1999.0,1999.0,0,0,0,7116,241475,-1,467,85.8182,482.0,1063,4191,7184,1999.0,4787,4787,Crowbar Collective,Crowbar Collective
546560,Half-Life: Alyx,half_life_alyx,https://cdn.cloudflare.steamstatic.com/steam/apps/546560/header.jpg?t=1641577012,59333,90.908,69419,59333,93,0.754079,2020-03-23,5999.0,5999.0,0,0,0,16459,217431,0,138,,1479.0,11091,16812,20353,5999.0,1,1,Valve,Valve
1238840,Battlefield 1 ™,battlefield_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1238840/header.jpg?t=1633006806,58110,80.3455,72007,58110,-1,0.56907,2020-06-11,3999.0,3999.0,0,0,0,43290,65926,0,480,,2055.0,156,416,747,3999.0,3489,668,DICE,Electronic Arts
331470,Everlasting Summer,everlasting_summer,https://cdn.cloudflare.steamstatic.com/steam/apps/331470/header.jpg?t=1632595734,55267,88.3943,55267,580,-1,0.718268,2014-11-19,0.0,0.0,1,0,0,1907,67036,0,-1,,1026.0,-1,-1,-1,0.0,9886,9886,Soviet Games,Soviet Games
268500,XCOM® 2,xcom_2,https://cdn.cloudflare.steamstatic.com/steam/apps/268500/header.jpg?t=1646157374,55194,69.2906,77973,55194,88,0.383959,2016-02-04,5999.0,5999.0,0,0,0,132677,286972,0,468,,319.0,2224,3838,4593,5999.0,"52,53,3515","52,53,528","Feral Interactive (Mac), Feral Interactive (Linux), Firaxis Games","Feral Interactive (Mac), Feral Interactive (Linux), 2K"
761890,Albion Online,albion_online,https://cdn.cloudflare.steamstatic.com/steam/apps/761890/header.jpg?t=1646060391,46080,75.2095,46080,1740,72,0.519151,2018-05-16,0.0,0.0,1,1,0,13312,69439,0,180,79.375,963.0,156,276,355,0.0,13755,13755,Sandbox Interactive GmbH,Sandbox Interactive GmbH
214950,Total War™: ROME II - Emperor Edition,total_war_rome_ii_emperor_edition,https://cdn.cloudflare.steamstatic.com/steam/apps/214950/header.jpg?t=1610468283,39276,77.9996,71779,43198,76,0.801062,2013-09-02,5999.0,5999.0,0,0,0,118240,134412,0,312,,1157.0,145,289,808,5999.0,51,50,CREATIVE ASSEMBLY,SEGA
834910,ATLAS,atlas,https://cdn.cloudflare.steamstatic.com/steam/apps/834910/header.jpg?t=1628208672,34575,50.4953,39907,34575,-1,0.106543,2018-12-22,2999.0,2999.0,0,0,0,58788,165102,1,594,,3180.0,7421,10144,11078,2999.0,"5180,17898",17898,"Instinct Games, Grapeshot Games",Grapeshot Games
418460,Rising Storm 2: Vietnam,rising_storm_2_vietnam,https://cdn.cloudflare.steamstatic.com/steam/apps/418460/header.jpg?t=1600184580,34090,81.3822,49239,34396,81,0.84807,2017-05-30,2499.0,2499.0,0,0,0,24518,142393,0,943,78.8,530.0,2147,3233,3960,2999.0,"25,1698",25,"Tripwire Interactive, Antimatter Games",Tripwire Interactive
1238860,Battlefield 4™,battlefield_4,https://cdn.cloudflare.steamstatic.com/steam/apps/1238860/header.jpg?t=1641312061,33826,80.5559,41915,33826,-1,0.605401,2020-06-11,3999.0,3999.0,0,0,0,12342,32099,0,646,,1798.0,277,690,1351,3999.0,3489,668,DICE,Electronic Arts
1237950,STAR WARS™ Battlefront™ II,star_wars_battlefront_ii,https://cdn.cloudflare.steamstatic.com/steam/apps/1237950/header.jpg?t=1615894850,28178,83.5391,34053,28178,-1,0.633986,2020-06-11,3999.0,3999.0,0,0,0,10345,44186,0,532,,2499.0,456,1603,2714,3999.0,3489,668,DICE,Electronic Arts
250820,SteamVR,steamvr,https://cdn.cloudflare.steamstatic.com/steam/apps/250820/header.jpg?t=1574723957,27689,84.8057,27689,-1,-1,0.636676,1970-01-01,0.0,0.0,0,0,1,801,21305,0,-1,,313.0,-1,-1,-1,0.0,25161,,Valve,
8500,EVE Online,eve_online,https://cdn.cloudflare.steamstatic.com/steam/apps/8500/header.jpg?t=1647858698,26626,63.1684,26626,6954,88,0.54936,2010-12-15,0.0,0.0,1,0,0,10229,80050,0,167,,354.0,15,30,50,0.0,7110,7110,CCP,CCP
34330,Total War: SHOGUN 2,total_war_shogun_2,https://cdn.cloudflare.steamstatic.com/steam/apps/201270/header.jpg?t=1603131194,25938,83.7112,50488,26275,90,0.878976,2011-03-15,2999.0,2999.0,0,0,0,53955,123883,0,498,,82.0,49,119,199,2999.0,"51,52,53","50,52,53","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
583950,Artifact,artifact,https://cdn.cloudflare.steamstatic.com/steam/apps/583950/header.jpg?t=1616044761,24828,56.0008,24828,19928,76,0.370847,2018-11-28,0.0,0.0,1,0,0,60740,150341,0,-1,76.7333,2752.0,4732,6314,6946,1999.0,1,1,Valve,Valve
393420,Hurtworld,hurtworld,https://cdn.cloudflare.steamstatic.com/steam/apps/393420/header.jpg?t=1597169414,23604,69.8124,30746,23604,-1,0.673843,2019-12-10,2499.0,2499.0,0,0,0,13291,241876,-1,3874,,1356.0,111,280,403,2499.0,15572,15572,Bankroll Studios,Bankroll Studios
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,red_orchestra_2_heroes_of_stalingrad_with_rising_storm,https://cdn.cloudflare.steamstatic.com/steam/apps/35450/header.jpg?t=1552425243,22532,81.7852,35629,22650,76,0.853498,2011-09-13,1999.0,1999.0,0,0,0,16311,77263,0,2623,,94.0,83,139,192,1999.0,25,25,Tripwire Interactive,Tripwire Interactive
228380,Wreckfest,wreckfest,https://cdn.cloudflare.steamstatic.com/steam/apps/228380/header.jpg?t=1634723536,22415,81.6838,29583,22415,81,0.852135,2018-06-14,2999.0,2999.0,0,0,0,3827,122066,-1,129,80.2667,1869.0,332,610,892,3999.0,16596,3423,Bugbear,THQ Nordic
223750,DCS World Steam Edition,dcs_world_steam_edition,https://cdn.cloudflare.steamstatic.com/steam/apps/223750/header.jpg?t=1639925078,20992,81.7001,20992,464,-1,0.649424,2013-08-02,0.0,0.0,1,0,0,3328,214252,0,32,,564.0,-1,-1,-1,0.0,24966,,Eagle Dynamics SA,
1284410,GWENT: The Witcher Card Game,gwent_the_witcher_card_game,https://cdn.cloudflare.steamstatic.com/steam/apps/1284410/header.jpg?t=1646332738,20614,55.6597,23800,-1,80,0.360151,2020-05-19,0.0,0.0,1,0,0,4862,34353,0,777,,2075.0,-1,-1,-1,0.0,7170,7170,CD PROJEKT RED,CD PROJEKT RED
325610,Total War: ATTILA,total_war_attila,https://cdn.cloudflare.steamstatic.com/steam/apps/325610/header.jpg?t=1610534671,19871,73.8598,28299,19871,80,0.739475,2015-02-17,4499.0,4499.0,0,0,0,26237,122411,0,697,78.9111,2545.0,674,1136,1573,4499.0,51,50,CREATIVE ASSEMBLY,SEGA
236110,Dungeon Defenders II,dungeon_defenders_ii,https://cdn.cloudflare.steamstatic.com/steam/apps/236110/header.jpg?t=1617393681,19526,74.8613,19526,2974,-1,0.754835,2017-06-20,0.0,0.0,1,1,0,18744,231898,-1,485,70.2,240.0,30,53,72,0.0,22473,22473,Trendy Entertainment,Trendy Entertainment
1222700,A Way Out,a_way_out,https://cdn.cloudflare.steamstatic.com/steam/apps/1222700/header.jpg?t=1626878628,18861,78.6027,32477,18861,78,0.585398,2020-06-18,2999.0,2999.0,0,0,0,2087,42422,0,555,79.4557,2815.0,141,736,1434,2999.0,46850,668,Hazelight,Electronic Arts
39140,FINAL FANTASY VII,final_fantasy_vii,https://cdn.cloudflare.steamstatic.com/steam/apps/39140/header.jpg?t=1574952550,18235,81.1122,21106,18235,-1,0.844414,2013-07-04,1199.0,1199.0,0,0,0,6424,49783,0,1491,,1441.0,179,347,459,1199.0,818,818,Square Enix,Square Enix
1359090,Zero Hour,zero_hour,https://cdn.cloudflare.steamstatic.com/steam/apps/1359090/header.jpg?t=1646668873,18049,69.8551,20686,18049,-1,0.426252,2020-08-12,1199.0,1199.0,0,0,0,4288,59851,1,954,,4592.0,458,648,826,1199.0,"24913,24914","24913,24914","M7 Productions, Attrito","M7 Productions, Attrito"
882100,XCOM®: Chimera Squad,xcom_chimera_squad,https://cdn.cloudflare.steamstatic.com/steam/apps/882100/header.jpg?t=1603903072,17374,58.7564,19616,17374,-1,0.447975,2020-04-23,1999.0,1999.0,0,0,0,20701,37289,0,2038,,1994.0,4591,7732,8551,1999.0,3515,528,Firaxis Games,2K
447820,Day of Infamy,day_of_infamy,https://cdn.cloudflare.steamstatic.com/steam/apps/447820/header.jpg?t=1648054343,17177,74.524,21693,17177,77,0.749697,2017-03-23,1499.0,1499.0,0,0,0,9214,100325,-1,3115,,1474.0,311,550,1044,1999.0,11221,11221,New World Interactive,New World Interactive
212500,The Lord of the Rings Online™,the_lord_of_the_rings_online,https://cdn.cloudflare.steamstatic.com/steam/apps/212500/header.jpg?t=1630088794,15086,75.4667,15086,169,-1,0.76397,2012-06-06,0.0,0.0,1,0,0,3702,74044,0,395,,692.0,-1,-1,-1,0.0,14593,14593,"Standing Stone Games, LLC","Standing Stone Games, LLC"
297000,Heroes® of Might & Magic® III - HD Edition,heroes_of_might_magic_iii_hd_edition,https://cdn.cloudflare.steamstatic.com/steam/apps/297000/header.jpg?t=1602603275,12470,73.0829,16061,12470,65,0.727336,2015-01-28,1499.0,1499.0,0,0,0,4598,51449,0,845,,3302.0,288,388,436,1499.0,3111,9403,Dotemu,Ubisoft Entertainment
201790,Orcs Must Die! 2,orcs_must_die_2,https://cdn.cloudflare.steamstatic.com/steam/apps/201790/header.jpg?t=1631205565,11596,77.0564,17677,11596,83,0.787453,2012-07-30,374.0,1499.0,0,0,0,15806,39516,0,2972,,274.0,84,179,230,1499.0,16590,664,Robot Entertainment,Robot Entertainment
391720,Layers of Fear,layers_of_fear,https://cdn.cloudflare.steamstatic.com/steam/apps/391720/header.jpg?t=1646423540,10853,69.581,24201,10853,72,0.669896,2016-02-15,1999.0,1999.0,0,0,0,143872,68519,-1,1845,74.4915,115.0,181,329,426,999.0,2582,11071,Bloober Team SA,Aspyr
1902490,Aperture Desk Job,aperture_desk_job,https://cdn.cloudflare.steamstatic.com/steam/apps/1902490/header.jpg?t=1646262842,10642,91.1571,10642,-1,-1,0.652744,2022-03-01,0.0,0.0,1,0,0,1471,11947,-2,-1,,5604.0,-1,-1,-1,,1,1,Valve,Valve
529180,Dark and Light,dark_and_light,https://cdn.cloudflare.steamstatic.com/steam/apps/529180/header.jpg?t=1622062355,9703,52.7767,10838,9703,-1,0.252266,2017-07-20,1799.0,1799.0,0,0,0,14029,149883,1,2051,,8621.0,1049,2123,2541,2999.0,7536,7536,Snail Games USA,Snail Games USA
712100,A Total War Saga: THRONES OF BRITANNIA,a_total_war_saga_thrones_of_britannia,https://cdn.cloudflare.steamstatic.com/steam/apps/712100/header.jpg?t=1624275118,9646,69.5658,11749,9646,-1,0.669636,2018-05-02,3999.0,3999.0,0,0,0,22600,101337,0,970,75.9375,8020.0,1163,1729,1975,3999.0,"51,52,5917","50,52,53","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
1262540,Need for Speed™,need_for_speed,https://cdn.cloudflare.steamstatic.com/steam/apps/1262540/header.jpg?t=1614949605,9125,67.6308,11525,9125,-1,0.635661,2020-06-04,2999.0,2999.0,0,0,0,1220,12897,0,1966,,5164.0,278,558,812,2999.0,6298,668,Ghost Games,Electronic Arts
1262560,Need for Speed™ Most Wanted,need_for_speed_most_wanted,https://cdn.cloudflare.steamstatic.com/steam/apps/1262560/header.jpg?t=1605151411,8987,71.1935,10476,8987,78,0.696934,2020-06-18,1999.0,1999.0,0,0,0,1934,40850,0,1206,,4697.0,99,267,464,1999.0,20365,668,Criterion Games,Electronic Arts
234650,Shadowrun Returns,shadowrun_returns,https://cdn.cloudflare.steamstatic.com/steam/apps/234650/header.jpg?t=1615973256,8567,74.9907,12334,8567,76,0.756797,2013-07-25,1499.0,1499.0,0,0,0,24242,23054,0,1806,,190.0,238,359,424,1499.0,5980,4790,Harebrained Schemes,Paradox Interactive
